Branch,Placed (%)
,
Bio-Technology,41.27%
,
Civil Engineering,44.36%
,
Computer Engineering,79.77%
,
Electrical Engineering,73.56%
,
Electronics and Communication Engineering,72.30%
,
Engineering Physics,42.57%
,
Environmental Engineering,49.25%
,
Information Technology,82.39%
,
Mathematics and Computing,75.37%
,
Mechanical Engineering,69.08%
,
Mechanical Engineering with Specialization in Automotive,58.46%
,
Polymer Science and Chemical Technology,62.12%
,
Production and Industrial Engineering,61.76%
,
Software Engineering,79.61%
,
Overall,69.17%
